iso3c,year,ChildMortality,GDPpc
CPV,2008,27.6,5903.59523031406
CPV,2006,27.8,4680.12462676976
CPV,2014,21.3,5989.40482976005
CPV,2015,19.7,6242.70523177727
CPV,2013,22.8,6019.80330326067
CPV,2010,26.5,5905.33932603844
CPV,2019,15,8071.88911593237
CPV,2021,13.5,7014.40251842564
CPV,2020,14.2,6413.5729269877
CPV,2005,28,4256.04452149249
CPV,2001,34.4,3177.18689544162
CPV,2012,24.2,6048.41406762586
CPV,2011,25.5,6189.69573422689
CPV,2009,27.2,5791.92630513502
CPV,2002,31.6,3343.94051026484
CPV,2003,29.7,3501.59957820114
CPV,2016,18.3,6689.80495084851
CPV,2000,38.1,3090.4723890869
CPV,2004,28.6,3909.3618134733
KHM,2003,78.2,1352.3092662483
KHM,2007,55.3,2156.77017337614
KHM,2004,70.8,1505.28401137868
KHM,2001,96.9,1170.27623936242
KHM,2002,86.9,1244.16095990144
KHM,2005,64.8,1727.63736895055
KHM,2016,30.3,3708.3691086602
KHM,2006,59.8,1938.93146780636
KHM,2019,26.8,4653.63036632515
KHM,2015,31.7,3411.57726731649
KHM,2008,51.4,2306.6936513814
KHM,2021,24.8,4805.08074295063
KHM,2009,47.5,2288.71825639734
KHM,2020,25.8,4515.70950573743
KHM,2011,40.6,2605.48954375604
KHM,2000,106.3,1077.41477030367
KHM,2013,35.3,3051.00146601056
KHM,2014,33.4,3198.67354941944
KHM,2018,27.8,4319.015890065
KHM,2012,37.8,2867.53737709889
KHM,2017,28.9,3972.7241639191
KHM,2010,43.9,2418.83605457979
CMR,2007,121.3,2786.08559714249
CMR,2013,96.9,3194.16203218593
CMR,2008,117.8,2838.69507774502
CMR,2016,84.3,3559.13512043726
CMR,2021,69.8,4071.05347014774
CMR,2017,80.8,3691.09472365252
CMR,2014,92.5,3369.32489025983
CMR,2019,75.1,3915.82749857609
CMR,2020,72.4,3870.8294331089
CMR,2006,124.6,2673.56321336677
CMR,2012,101.5,3022.35801135338
CMR,2011,105.9,2957.16345620614
CMR,2009,114.5,2848.3299563577
CMR,2010,110.2,2882.75070014928
CMR,2002,138.2,2236.10069605618
CMR,2003,134.6,2339.84064917022
CMR,2015,88.1,3437.78982576215
CMR,2000,144.4,2083.23424833488
CMR,2001,141.5,2164.67041259965
CMR,2018,77.7,3822.23276458654
CMR,2005,127.9,2567.22358686321
CMR,2004,131.1,2502.3790836283
CAN,2001,6.2,30230.8029655917
CAN,2000,6.2,29362.0841609786
CAN,2002,6.2,30963.0530022941
CAN,2011,5.7,41666.7076267956
CAN,2004,6.1,33925.7067319515
